Обчислення наближеня за допомогою ряду Фур'є значення функції x^10 * e^(-x^2 / 10), на проміжку х є [-6.283185307179586; 6.283185307179586]

Порядок N = 30

Коефіцієнти ряду Фур'є
  №        a_k         b_k
  0     730730.2304  Не існує    
  1     395554.6413  0           
  2     81765.0872   0           
  3     24928.5809   0           
  4     13196.9391   0           
  5     8231.2695    0           
  6     5640.3167    0           
  7     4111.4764    0           
  8     3132.0741    0           
  9     2466.2978    0           
  10    1992.865     0           
  11    1644.059     0           
  12    1379.5989    0           
  13    1174.2828    0           
  14    1011.6781    0           
  15    880.6942     0           
  16    773.6243     0           
  17    684.9762     0           
  18    610.7502     0           
  19    547.9768     0           
  20    494.4138     0           
  21    448.3423     0           
  22    408.427      0           
  23    373.6173     0           
  24    343.0776     0           
  25    316.1368     0           
  26    292.2506     0           
  27    270.9739     0           
  28    251.9397     0           
  29    234.8437     0           
  30    219.4311     0           
